City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
260,Rudbar,AF,75.92,overcast clouds,30.15,62.6,
262,Ratodero,PK,78.8,haze,27.803,68.2871,Ali Abbas Kango House
264,Monrovia,LR,78.8,scattered clouds,6.3005,-10.7969,Sunset Inn
265,Tiarei,PF,87.8,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
270,Bonthe,SL,81.39,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
273,Noumea,NC,81.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
275,Faanui,PF,82.69,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
277,Prado,BR,76.3,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
283,Kontagora,NG,86.09,overcast clouds,10.3999,5.4695,Queens Guest Inn
289,Zamora,EC,75.2,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
291,Kalanaur,IN,76.5,few clouds,28.8333,76.4,Gujjar Home
292,Isabela,PH,80.6,overcast clouds,6.7085,121.9711,Isawad Resort
293,Dhidhdhoo,MV,83.82,overcast clouds,6.8833,73.1,Dhidhoo beach
296,Alofi,NU,80.6,scattered clouds,-19.0595,-169.9187,Taloa Heights
297,Edd,ER,86.31,broken clouds,13.9297,41.6925,
298,Pitiquito,MX,82.0,clear sky,30.7,-112.0833,La Víspera
299,Puerto Gaitan,CO,82.99,overcast clouds,4.3133,-72.0816,Brisas del Yucao
300,Lorengau,PG,81.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
302,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
303,Port Blair,IN,80.47,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
304,Merauke,ID,78.6,overcast clouds,-8.4667,140.3333,
307,Kinablangan,PH,80.74,overcast clouds,7.6947,126.5503,Danny Moreno Property
313,Omboue,GA,79.09,overcast clouds,-1.5746,9.2618,Hotel Olako
316,Kalmunai,LK,79.32,overcast clouds,7.4167,81.8167,VS Villa
317,Sechura,PE,75.65,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
320,Namibe,AO,81.28,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
322,Cayenne,GF,81.0,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
329,Kieta,PG,84.52,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
332,Banda Aceh,ID,79.9,overcast clouds,5.5577,95.3222,Sulthan Hotel International
333,Petatlan,MX,82.4,broken clouds,17.5167,-101.2667,Hotel California Petatlán
335,Awjilah,LY,79.05,overcast clouds,29.1081,21.2869,
340,Santo Nino,PH,77.07,overcast clouds,6.435,124.6975,The Signature Place
343,Birao,CF,80.17,broken clouds,10.2849,22.7882,
344,Adrar,MR,78.42,broken clouds,20.5022,-10.0711,
346,Marsa Matruh,EG,77.0,broken clouds,31.3525,27.2453,Beau Site
349,Vanimo,PG,80.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
353,Poum,NC,78.73,overcast clouds,-20.2333,164.0167,Gîte kajeon
357,Qandala,SO,83.08,broken clouds,11.472,49.8728,
359,Sur,OM,81.68,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
363,Iracoubo,GF,77.38,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
365,Honiara,SB,84.97,broken clouds,-9.4333,159.95,Heritage Park Hotel
366,Tanda,IN,78.06,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
368,Kavaratti,IN,83.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
369,Bol,TD,83.97,overcast clouds,13.4586,14.7147,Hotel 3 Etoiles
371,Sao Joao Da Barra,BR,75.56,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
372,Aswan,EG,83.43,clear sky,24.0934,32.907,Nuba Nile
373,Presidencia Roque Saenz Pena,AR,75.99,clear sky,-26.7852,-60.4388,Hotel Gualok
374,Wanning,CN,75.49,scattered clouds,18.8003,110.3967,Paradise Hotel
377,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
383,Buerarema,BR,78.8,broken clouds,-14.9594,-39.2997,POUSADA JEQUITIBÁ BUERAREMA
386,Isla Mujeres,MX,82.4,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
390,Auki,SB,84.6,broken clouds,-8.7676,160.7034,Auki Motel
392,Upata,VE,82.99,overcast clouds,8.0086,-62.3989,Posada Villa Nela
393,Jagatsinghapur,IN,77.0,haze,20.2667,86.1667,Arun Beura & Bros..
398,Mount Isa,AU,75.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
400,Kirakira,SB,83.95,broken clouds,-10.4544,161.9205,SanBiz Lodge
