City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Inongo,CD,-1.95,18.2667,74.12,87,88,2.84,overcast clouds
81,Gweru,ZW,-19.45,29.8167,48.97,80,1,6.15,clear sky
82,Mar Del Plata,AR,-38.0023,-57.5575,69.01,82,0,5.75,light rain
83,Luderitz,NA,-26.6481,15.1594,74.84,46,32,6.02,scattered clouds
84,Gaoual,GN,11.75,-13.2,87.39,48,96,5.41,overcast clouds
85,Flinders,AU,-34.5833,150.8552,61.0,80,4,1.01,clear sky
86,Narsaq,GL,60.9167,-46.05,30.2,34,40,3.44,scattered clouds
87,Beaufort,MY,5.3473,115.7455,78.8,78,20,4.61,few clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,1,14.97,clear sky
89,Kavieng,PG,-2.5744,150.7967,83.86,70,95,5.68,overcast clouds
90,Alta Floresta,BR,-9.8756,-56.0861,72.55,94,65,2.42,broken clouds
91,Quatre Cocos,MU,-20.2078,57.7625,78.8,89,75,12.66,light rain
92,Turayf,SA,31.6725,38.6637,69.8,30,0,11.5,clear sky
93,Salalah,OM,17.0151,54.0924,78.8,73,0,3.44,clear sky
94,Saurimo,AO,-9.6608,20.3916,65.34,86,100,3.22,overcast clouds
95,Vao,NC,-22.6667,167.4833,77.2,78,80,11.52,light rain
96,Tautira,PF,-17.7333,-149.15,87.8,62,20,6.91,few clouds
97,Portobelo,PA,9.55,-79.65,78.01,85,100,21.99,overcast clouds
98,Port Hedland,AU,-20.3167,118.5667,69.8,68,0,8.05,clear sky
99,Neuquen,AR,-38.9516,-68.0591,73.4,68,0,3.44,clear sky
100,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,60,8.05,broken clouds
101,Mount Gambier,AU,-37.8333,140.7667,55.4,100,75,9.22,broken clouds
102,Luena,AO,-11.7833,19.9167,65.88,67,99,4.36,overcast clouds
103,Vallenar,CL,-28.5708,-70.7581,68.04,56,0,3.65,clear sky
104,Bilibino,RU,68.0546,166.4372,25.11,91,100,9.78,light snow
105,East London,ZA,-33.0153,27.9116,74.7,30,0,6.46,clear sky
106,Kismayo,SO,-0.3582,42.5454,81.0,80,84,8.14,broken clouds
107,San Cristobal,VE,7.7669,-72.225,84.2,65,40,4.61,scattered clouds
108,Hofn,IS,64.2539,-15.2082,39.27,69,6,19.01,clear sky
109,Rongai,KE,-0.1733,35.8638,59.04,78,93,4.03,overcast clouds
110,Roebourne,AU,-20.7833,117.1333,78.22,65,4,4.56,clear sky
111,Varca,IN,15.2167,73.9167,80.65,82,30,1.79,scattered clouds
112,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,88,75,9.22,broken clouds
113,Keti Bandar,PK,24.1447,67.4497,79.5,79,61,10.67,broken clouds
114,Houston,US,29.7633,-95.3633,64.99,45,1,8.05,clear sky
115,Hasaki,JP,35.7333,140.8333,59.0,33,0,12.66,clear sky
116,Olafsvik,IS,64.8945,-23.7142,34.86,61,96,16.69,overcast clouds
117,Albany,US,42.6001,-73.9662,55.0,43,95,3.0,overcast clouds
118,Salinopolis,BR,-0.6136,-47.3561,77.18,84,100,4.32,light rain
119,Pisco,PE,-13.7,-76.2167,69.01,83,0,13.8,clear sky
120,Taltal,CL,-25.4,-70.4833,63.95,84,32,3.69,scattered clouds
121,Shache,CN,38.4167,77.2406,57.74,45,100,10.76,overcast clouds
122,Padang,ID,-0.9492,100.3543,76.01,87,30,3.42,scattered clouds
123,San Quintin,MX,30.4833,-115.95,67.73,58,1,11.25,clear sky
124,Norfolk,US,42.1668,-71.2495,57.2,41,1,6.91,clear sky
125,Codrington,AU,-38.2667,141.9667,57.13,82,54,12.8,broken clouds
126,Mmabatho,ZA,-25.85,25.6333,51.8,82,39,2.3,scattered clouds
127,Zyryanovsk,KZ,49.7386,84.2719,35.51,84,84,0.18,broken clouds
128,Norman Wells,CA,65.282,-126.8329,48.2,43,1,9.22,clear sky
129,Panama City,PA,8.9936,-79.5197,77.0,88,40,5.75,scattered clouds
130,Mudanya,TR,40.3753,28.8822,60.8,77,75,4.61,light rain
131,Georgetown,MY,5.4112,100.3354,81.0,94,20,2.3,few clouds
132,Portland,US,45.5234,-122.6762,82.99,18,20,4.61,few clouds
133,Belle Fourche,US,44.6714,-103.8522,48.2,53,40,17.27,scattered clouds
134,Xinglongshan,CN,43.9561,125.4661,51.8,35,0,6.71,clear sky
135,Atascocita,US,29.9988,-95.1766,66.99,42,75,16.11,broken clouds
136,Shelburne,CA,44.0787,-80.2041,52.0,57,1,9.22,clear sky
137,Mercedes,AR,-34.6515,-59.4307,66.0,75,86,4.0,overcast clouds
138,Makat,KZ,47.6469,53.3463,59.52,61,100,5.41,overcast clouds
139,Feijo,BR,-8.1642,-70.3536,74.28,96,89,3.2,overcast clouds
140,Basco,PH,20.4487,121.9702,74.21,68,91,28.54,overcast clouds
141,Atherton,GB,53.5237,-2.4935,48.99,69,92,2.39,overcast clouds
142,Viedma,AR,-40.8135,-62.9967,69.84,73,32,12.82,scattered clouds
143,Canto Do Buriti,BR,-8.11,-42.9444,75.31,77,99,3.74,overcast clouds
144,Robertsport,LR,6.7533,-11.3686,82.06,80,42,9.89,scattered clouds
145,Ulladulla,AU,-35.35,150.4667,59.0,55,0,14.97,clear sky
146,Longyearbyen,SJ,78.2186,15.6401,28.4,93,90,13.8,snow
147,Smithers,CA,54.7804,-127.1743,57.2,21,1,9.22,clear sky
148,Souillac,MU,-20.5167,57.5167,78.8,89,75,12.66,light rain
149,Chokurdakh,RU,70.6333,147.9167,9.59,91,95,14.25,overcast clouds
150,Kropotkin,RU,45.4375,40.5756,50.0,96,100,1.48,overcast clouds
151,Aklavik,CA,68.2191,-135.0107,48.2,37,16,8.05,few clouds
152,Lebu,CL,-37.6167,-73.65,57.79,81,50,10.27,scattered clouds
153,Skaerbaek,DK,55.1573,8.769,46.99,70,0,3.44,clear sky
154,Torrington,US,41.8007,-73.1212,55.0,54,67,4.07,broken clouds
155,Gongzhuling,CN,43.5008,124.8198,53.64,33,65,11.12,broken clouds
156,Chalus,IR,36.655,51.4204,60.8,94,75,2.3,broken clouds
157,Broome,US,42.2506,-75.833,53.01,57,75,6.91,broken clouds
158,Kachug,RU,53.9606,105.8817,27.63,62,100,3.29,overcast clouds
159,Umm Lajj,SA,25.0213,37.2685,79.12,65,0,7.2,clear sky
160,Vaini,TO,-21.2,-175.2,80.6,78,40,9.22,scattered clouds
161,Port Augusta,AU,-32.5,137.7667,57.2,77,0,5.75,clear sky
162,Leo,BF,11.1,-2.1,80.78,60,60,14.52,light rain
163,Edson,CA,53.5835,-116.4356,37.4,65,75,10.36,broken clouds
164,Goundam,ML,16.4145,-3.6708,86.34,12,50,10.31,scattered clouds
165,Emba,KZ,48.8264,58.1442,54.3,83,97,8.72,overcast clouds
166,Shakhtinsk,KZ,49.71,72.5872,33.8,86,75,20.13,broken clouds
167,Boa Vista,BR,2.8197,-60.6733,84.2,51,0,5.75,clear sky
